Date,ID,Trangenic,Treatment,Branch,Volumen en ug
18/08/2018,3115,Cry,Control,1,3.2
18/08/2018,3115,Cry,Control,2,6.4
18/08/2018,3115,Cry,Induced,1,3.6
18/08/2018,3115,Cry,Induced,2,14
18/08/2018,3118,Cry,Control,1,32
18/08/2018,3118,Cry,Control,2,27.8
18/08/2018,3118,Cry,Induced,1,11.2
18/08/2018,3118,Cry,Induced,2,7.8
18/08/2018,3126,Cry,Control,1,7.6
18/08/2018,3126,Cry,Control,2,15.2
18/08/2018,3126,Cry,Induced,1,13.2
18/08/2018,3126,Cry,Induced,2,17.6
18/08/2018,3123,Cry,Control,1,0
18/08/2018,3123,Cry,Control,2,23.6
18/08/2018,3123,Cry,Induced,1,2
18/08/2018,3123,Cry,Induced,2,33.6
18/08/2018,3116,Cry,Control,1,7.2
18/08/2018,3116,Cry,Control,2,24.6
18/08/2018,3116,Cry,Induced,1,20
18/08/2018,3116,Cry,Induced,2,171.6
18/08/2018,3121,Cry,Control,1,0
18/08/2018,3121,Cry,Control,2,0
18/08/2018,3121,Cry,Induced,1,0
18/08/2018,3121,Cry,Induced,2,0
18/08/2018,3114,Cry,Control,1,216.2
18/08/2018,3114,Cry,Control,2,0
18/08/2018,3114,Cry,Induced,1,26.6
18/08/2018,3114,Cry,Induced,2,0
19/08/2018,3118,Cry,Control,1,1.2
19/08/2018,3118,Cry,Control,2,3.6
19/08/2018,3118,Cry,Induced,1,7.2
19/08/2018,3118,Cry,Induced,2,6
19/08/2018,3123,Cry,Control,1,1.2
19/08/2018,3123,Cry,Control,2,4.8
19/08/2018,3123,Cry,Induced,1,18.8
19/08/2018,3123,Cry,Induced,2,2.4
19/08/2018,3115,Cry,Control,1,24.4
19/08/2018,3115,Cry,Control,2,28
19/08/2018,3115,Cry,Induced,1,11.2
19/08/2018,3115,Cry,Induced,2,80.4
19/08/2018,3126,Cry,Control,1,1.2
19/08/2018,3126,Cry,Control,2,9.2
19/08/2018,3126,Cry,Induced,1,6.4
19/08/2018,3126,Cry,Induced,2,13.2
19/08/2018,3114,Cry,Control,1,56.6
19/08/2018,3114,Cry,Control,2,3
19/08/2018,3114,Cry,Induced,1,12.6
19/08/2018,3114,Cry,Induced,2,4.2
19/08/2018,3116,Cry,Control,1,24.6
19/08/2018,3116,Cry,Control,2,1.2
19/08/2018,3116,Cry,Induced,1,7.8
19/08/2018,3116,Cry,Induced,2,24
19/08/2018,3121,Cry,Control,1,70
19/08/2018,3121,Cry,Control,2,77.4
19/08/2018,3121,Cry,Induced,1,22.8
19/08/2018,3121,Cry,Induced,2,590
20/08/2018,3121,Cry,Control,1,19.4
20/08/2018,3121,Cry,Control,2,136.2
20/08/2018,3121,Cry,Induced,1,58.8
20/08/2018,3121,Cry,Induced,2,18.4
20/08/2018,3038,Cry,Control,1,2.25
20/08/2018,3038,Cry,Control,2,1.8
20/08/2018,3038,Cry,Induced,1,0
20/08/2018,3038,Cry,Induced,2,4.8
20/08/2018,3114,Cry,Control,1,0.4
20/08/2018,3114,Cry,Control,2,2.2
20/08/2018,3114,Cry,Induced,1,18.6
20/08/2018,3114,Cry,Induced,2,0
20/08/2018,3116,Cry,Control,1,0
20/08/2018,3116,Cry,Control,2,0
20/08/2018,3116,Cry,Induced,1,0
20/08/2018,3116,Cry,Induced,2,1.8
20/08/2018,3126,Cry,Control,1,0
20/08/2018,3126,Cry,Control,2,1.2
20/08/2018,3126,Cry,Induced,1,4.8
20/08/2018,3126,Cry,Induced,2,18
20/08/2018,3115,Cry,Control,1,0
20/08/2018,3115,Cry,Control,2,16.4
20/08/2018,3115,Cry,Induced,1,7.2
20/08/2018,3115,Cry,Induced,2,20.8
20/08/2018,3118,Cry,Control,1,3.6
20/08/2018,3118,Cry,Control,2,1.2
20/08/2018,3118,Cry,Induced,1,2.4
20/08/2018,3118,Cry,Induced,2,28.8
20/08/2018,3123,Cry,Control,1,2.4
20/08/2018,3123,Cry,Control,2,18.8
20/08/2018,3123,Cry,Induced,1,19.2
20/08/2018,3123,Cry,Induced,2,4.4
