Date,ID,Genotype,Treatment,Branch,EFN volume ug
18/08/2018,3115,Cry,Control,1,3.2
18/08/2018,3115,Cry,Control,2,6.4
18/08/2018,3118,Cry,Control,1,32
18/08/2018,3118,Cry,Control,2,27.8
18/08/2018,3126,Cry,Control,1,7.6
18/08/2018,3126,Cry,Control,2,15.2
18/08/2018,3123,Cry,Control,1,0
18/08/2018,3123,Cry,Control,2,23.6
18/08/2018,3116,Cry,Control,1,7.2
18/08/2018,3116,Cry,Control,2,24.6
18/08/2018,3121,Cry,Control,1,0
18/08/2018,3121,Cry,Control,2,0
18/08/2018,3114,Cry,Control,1,216.2
18/08/2018,3114,Cry,Control,2,0
19/08/2018,3118,Cry,Control,1,1.2
19/08/2018,3118,Cry,Control,2,3.6
19/08/2018,3123,Cry,Control,1,1.2
19/08/2018,3123,Cry,Control,2,4.8
19/08/2018,3115,Cry,Control,1,24.4
19/08/2018,3115,Cry,Control,2,28
19/08/2018,3126,Cry,Control,1,1.2
19/08/2018,3126,Cry,Control,2,9.2
19/08/2018,3114,Cry,Control,1,56.6
19/08/2018,3114,Cry,Control,2,3
19/08/2018,3116,Cry,Control,1,24.6
19/08/2018,3116,Cry,Control,2,1.2
19/08/2018,3121,Cry,Control,1,70
19/08/2018,3121,Cry,Control,2,77.4
20/08/2018,3121,Cry,Control,1,19.4
20/08/2018,3121,Cry,Control,2,136.2
20/08/2018,3038,Cry,Control,1,2.25
20/08/2018,3038,Cry,Control,2,1.8
20/08/2018,3114,Cry,Control,1,0.4
20/08/2018,3114,Cry,Control,2,2.2
20/08/2018,3116,Cry,Control,1,0
20/08/2018,3116,Cry,Control,2,0
20/08/2018,3126,Cry,Control,1,0
20/08/2018,3126,Cry,Control,2,1.2
20/08/2018,3115,Cry,Control,1,0
20/08/2018,3115,Cry,Control,2,16.4
20/08/2018,3118,Cry,Control,1,3.6
20/08/2018,3118,Cry,Control,2,1.2
20/08/2018,3123,Cry,Control,1,2.4
20/08/2018,3123,Cry,Control,2,18.8
18/08/2018,3117,Negativa,Inducción,1,59.6
18/08/2018,3117,Negativa,Inducción,2,0.8
18/08/2018,3125,Negativa,Inducción,1,26.4
18/08/2018,3125,Negativa,Inducción,2,8.4
18/08/2018,3134,Negativa,Inducción,1,9.2
18/08/2018,3134,Negativa,Inducción,2,4.4
18/08/2018,3120,Negativa,Inducción,1,1.2
18/08/2018,3120,Negativa,Inducción,2,1.2
18/08/2018,3130,Negativa,Inducción,1,152.8
18/08/2018,3130,Negativa,Inducción,2,16.2
18/08/2018,3392,Negativa,Inducción,1,0.6
18/08/2018,3392,Negativa,Inducción,2,11.4
18/08/2018,3119,Negativa,Inducción,1,0
18/08/2018,3119,Negativa,Inducción,2,0
19/08/2018,3130,Negativa,Inducción,1,4.8
19/08/2018,3130,Negativa,Inducción,2,0
19/08/2018,3134,Negativa,Inducción,1,4
19/08/2018,3134,Negativa,Inducción,2,13.2
19/08/2018,3125,Negativa,Inducción,1,1.2
19/08/2018,3125,Negativa,Inducción,2,1.2
19/08/2018,3117,Negativa,Inducción,1,21.6
19/08/2018,3117,Negativa,Inducción,2,18.8
19/08/2018,3120,Negativa,Inducción,1,24.6
19/08/2018,3120,Negativa,Inducción,2,498.2
19/08/2018,3119,Negativa,Inducción,1,1.6
19/08/2018,3119,Negativa,Inducción,2,12.6
19/08/2018,3392,Negativa,Inducción,1,19.4
19/08/2018,3392,Negativa,Inducción,2,0
20/08/2018,3119,Negativa,Inducción,1,0
20/08/2018,3119,Negativa,Inducción,2,11.6
20/08/2018,3392,Negativa,Inducción,1,11.4
20/08/2018,3392,Negativa,Inducción,2,1.2
20/08/2018,3120,Negativa,Inducción,1,12.8
20/08/2018,3120,Negativa,Inducción,2,4.6
20/08/2018,3130,Negativa,Inducción,1,9.6
20/08/2018,3130,Negativa,Inducción,2,1.2
20/08/2018,3134,Negativa,Inducción,1,26.8
20/08/2018,3134,Negativa,Inducción,2,73.2
20/08/2018,3125,Negativa,Inducción,1,1.2
20/08/2018,3125,Negativa,Inducción,2,2.4
20/08/2018,3117,Negativa,Inducción,1,12.4
20/08/2018,3117,Negativa,Inducción,2,13.5
