ID,Genotype,Treatment,Branch,Leaf,Volumen of EFN in ug mean
3117,Wild,Control,1,1,26
3117,Wild,Control,1,2,13.33333333
3117,Wild,Control,1,3,2
3117,Wild,Control,1,4,3.333333333
3117,Wild,Control,1,5,4
3117,Wild,Control,2,1,3.333333333
3117,Wild,Control,2,2,10
3117,Wild,Control,2,3,1.333333333
3117,Wild,Control,2,4,0
3117,Wild,Control,2,5,1.333333333
3117,Wild,Inducción,1,1,7.333333333
3117,Wild,Inducción,1,2,98.66666667
3117,Wild,Inducción,1,3,17.33333333
3117,Wild,Inducción,1,4,10.66666667
3117,Wild,Inducción,1,5,22
3117,Wild,Inducción,2,1,14.66666667
3117,Wild,Inducción,2,2,11.33333333
3117,Wild,Inducción,2,3,16
3117,Wild,Inducción,2,4,2
3117,Wild,Inducción,2,5,10
3119,Wild,Control,1,1,18
3119,Wild,Control,1,2,43
3119,Wild,Control,1,3,4
3119,Wild,Control,1,4,2
3119,Wild,Control,1,5,25.33333333
3119,Wild,Control,2,1,7.333333333
3119,Wild,Control,2,2,5.333333333
3119,Wild,Control,2,3,11.66666667
3119,Wild,Control,2,4,10.66666667
3119,Wild,Control,2,5,0
3119,Wild,Inducción,1,1,2.666666667
3119,Wild,Inducción,1,2,0
3119,Wild,Inducción,1,3,0
3119,Wild,Inducción,1,4,0
3119,Wild,Inducción,1,5,0
3119,Wild,Inducción,2,1,2
3119,Wild,Inducción,2,2,1.333333333
3119,Wild,Inducción,2,3,35
3119,Wild,Inducción,2,4,1
3119,Wild,Inducción,2,5,1
3120,Wild,Control,1,1,50.66666667
3120,Wild,Control,1,2,41
3120,Wild,Control,1,3,24
3120,Wild,Control,1,4,0
3120,Wild,Control,1,5,0
3120,Wild,Control,2,1,68
3120,Wild,Control,2,2,17
3120,Wild,Control,2,3,3
3120,Wild,Control,2,4,3.333333333
3120,Wild,Control,2,5,0
3120,Wild,Inducción,1,1,24
3120,Wild,Inducción,1,2,7
3120,Wild,Inducción,1,3,18.66666667
3120,Wild,Inducción,1,4,4.666666667
3120,Wild,Inducción,1,5,10
3120,Wild,Inducción,2,1,739.3333333
3120,Wild,Inducción,2,2,34
3120,Wild,Inducción,2,3,16
3120,Wild,Inducción,2,4,48
3120,Wild,Inducción,2,5,2.666666667
3125,Wild,Control,1,1,4
3125,Wild,Control,1,2,1.333333333
3125,Wild,Control,1,3,38.66666667
3125,Wild,Control,1,4,2
3125,Wild,Control,1,5,2
3125,Wild,Control,2,1,4
3125,Wild,Control,2,2,2
3125,Wild,Control,2,3,0
3125,Wild,Control,2,4,2
3125,Wild,Control,2,5,1.333333333
3125,Wild,Inducción,1,1,40
3125,Wild,Inducción,1,2,0
3125,Wild,Inducción,1,3,2
3125,Wild,Inducción,1,4,4
3125,Wild,Inducción,1,5,2
3125,Wild,Inducción,2,1,0
3125,Wild,Inducción,2,2,2
3125,Wild,Inducción,2,3,5.333333333
3125,Wild,Inducción,2,4,2
3125,Wild,Inducción,2,5,10.66666667
3130,Wild,Control,1,1,13.33333333
3130,Wild,Control,1,2,11
3130,Wild,Control,1,3,0
3130,Wild,Control,1,4,0
3130,Wild,Control,1,5,0
3130,Wild,Control,2,1,0
3130,Wild,Control,2,2,1.333333333
3130,Wild,Control,2,3,0
3130,Wild,Control,2,4,0
3130,Wild,Control,2,5,0
3130,Wild,Inducción,1,1,168.6666667
3130,Wild,Inducción,1,2,108
3130,Wild,Inducción,1,3,2
3130,Wild,Inducción,1,4,0
3130,Wild,Inducción,1,5,0
3130,Wild,Inducción,2,1,24
3130,Wild,Inducción,2,2,2
3130,Wild,Inducción,2,3,3
3130,Wild,Inducción,2,4,0
3130,Wild,Inducción,2,5,0
3134,Wild,Control,1,1,6.666666667
3134,Wild,Control,1,2,4.666666667
3134,Wild,Control,1,3,6.666666667
3134,Wild,Control,1,4,20
3134,Wild,Control,1,5,6.666666667
3134,Wild,Control,2,1,6
3134,Wild,Control,2,2,22
3134,Wild,Control,2,3,10
3134,Wild,Control,2,4,24
3134,Wild,Control,2,5,18
3134,Wild,Inducción,1,1,8
3134,Wild,Inducción,1,2,4
3134,Wild,Inducción,1,3,20
3134,Wild,Inducción,1,4,32.66666667
3134,Wild,Inducción,1,5,2
3134,Wild,Inducción,2,1,45.33333333
3134,Wild,Inducción,2,2,12
3134,Wild,Inducción,2,3,72
3134,Wild,Inducción,2,4,4
3134,Wild,Inducción,2,5,18
3392,Wild,Control,1,1,5.666666667
3392,Wild,Control,1,2,5
3392,Wild,Control,1,3,0
3392,Wild,Control,1,4,0
3392,Wild,Control,1,5,0
3392,Wild,Control,2,1,9
3392,Wild,Control,2,2,0
3392,Wild,Control,2,3,1
3392,Wild,Control,2,4,4
3392,Wild,Control,2,5,3
3392,Wild,Inducción,1,1,4.333333333
3392,Wild,Inducción,1,2,11.66666667
3392,Wild,Inducción,1,3,0
3392,Wild,Inducción,1,4,31.33333333
3392,Wild,Inducción,1,5,5
3392,Wild,Inducción,2,1,15
3392,Wild,Inducción,2,2,6
3392,Wild,Inducción,2,3,0
3392,Wild,Inducción,2,4,0
3392,Wild,Inducción,2,5,0
