ID,Genotype,Treatment,Branch,Leaf,Volumen of EFN in ug mean
3038,cp4-epsps,Control,1,1,0
3038,cp4-epsps,Control,1,2,0
3038,cp4-epsps,Control,1,3,0
3038,cp4-epsps,Control,1,4,0
3038,cp4-epsps,Control,1,5,0
3038,cp4-epsps,Control,2,1,0
3038,cp4-epsps,Control,2,2,0
3038,cp4-epsps,Control,2,3,0
3038,cp4-epsps,Control,2,4,1.5
3038,cp4-epsps,Control,2,5,9
3045,cp4-epsps,Control,1,1,6.666666667
3045,cp4-epsps,Control,1,2,7
3045,cp4-epsps,Control,1,3,4.333333333
3045,cp4-epsps,Control,1,4,6
3045,cp4-epsps,Control,1,5,0
3045,cp4-epsps,Control,2,1,0
3045,cp4-epsps,Control,2,2,0.666666667
3045,cp4-epsps,Control,2,3,0
3045,cp4-epsps,Control,2,4,0
3045,cp4-epsps,Control,2,5,0
3046,cp4-epsps,Control,1,1,10
3046,cp4-epsps,Control,1,2,8
3046,cp4-epsps,Control,1,3,0
3046,cp4-epsps,Control,1,4,2
3046,cp4-epsps,Control,1,5,2
3046,cp4-epsps,Control,2,1,20
3046,cp4-epsps,Control,2,2,8
3046,cp4-epsps,Control,2,3,4
3046,cp4-epsps,Control,2,4,8
3046,cp4-epsps,Control,2,5,2.666666667
3054,cp4-epsps,Control,1,1,9
3054,cp4-epsps,Control,1,2,63
3054,cp4-epsps,Control,1,3,16
3054,cp4-epsps,Control,1,4,0
3054,cp4-epsps,Control,1,5,0
3054,cp4-epsps,Control,2,1,0
3054,cp4-epsps,Control,2,2,0
3054,cp4-epsps,Control,2,3,0
3054,cp4-epsps,Control,2,4,2.666666667
3054,cp4-epsps,Control,2,5,0
3055,cp4-epsps,Control,1,1,0
3055,cp4-epsps,Control,1,2,0
3055,cp4-epsps,Control,1,3,1
3055,cp4-epsps,Control,1,4,0
3055,cp4-epsps,Control,1,5,2
3055,cp4-epsps,Control,2,1,56.66666667
3055,cp4-epsps,Control,2,2,22.66666667
3055,cp4-epsps,Control,2,3,4.666666667
3055,cp4-epsps,Control,2,4,0
3055,cp4-epsps,Control,2,5,0
3056,cp4-epsps,Control,1,1,2
3056,cp4-epsps,Control,1,2,2
3056,cp4-epsps,Control,1,3,45
3056,cp4-epsps,Control,1,4,0
3056,cp4-epsps,Control,1,5,18.66666667
3056,cp4-epsps,Control,2,1,14.66666667
3056,cp4-epsps,Control,2,2,0
3056,cp4-epsps,Control,2,3,8
3056,cp4-epsps,Control,2,4,0
3056,cp4-epsps,Control,2,5,0
3132,cp4-epsps,Control,1,1,5
3132,cp4-epsps,Control,1,2,3.333333333
3132,cp4-epsps,Control,1,3,14.66666667
3132,cp4-epsps,Control,1,4,0
3132,cp4-epsps,Control,1,5,0.666666667
3132,cp4-epsps,Control,2,1,6.666666667
3132,cp4-epsps,Control,2,2,0
3132,cp4-epsps,Control,2,3,0
3132,cp4-epsps,Control,2,4,8
3132,cp4-epsps,Control,2,5,1
3313,cp4-epsps,Control,2,1,4
3313,cp4-epsps,Control,2,2,3.333333333
3313,cp4-epsps,Control,2,3,0
3313,cp4-epsps,Control,2,4,0
3313,cp4-epsps,Control,2,5,8
