ID,Genotype,Treatment,Branch,Leaf,Volumen of EFN in ug mean
3114,cry,Control,1,1,9
3114,cry,Control,1,2,13
3114,cry,Control,1,3,60
3114,cry,Control,1,4,302
3114,cry,Control,1,5,71.33333333
3114,cry,Control,2,1,0
3114,cry,Control,2,2,0
3114,cry,Control,2,3,0
3114,cry,Control,2,4,0.666666667
3114,cry,Control,2,5,8
3115,cry,Control,1,1,10
3115,cry,Control,1,2,31.33333333
3115,cry,Control,1,3,1.333333333
3115,cry,Control,1,4,2
3115,cry,Control,1,5,1.333333333
3115,cry,Control,2,1,8.666666667
3115,cry,Control,2,2,20
3115,cry,Control,2,3,10.66666667
3115,cry,Control,2,4,14
3115,cry,Control,2,5,31.33333333
3116,cry,Control,1,1,5
3116,cry,Control,1,2,14
3116,cry,Control,1,3,16
3116,cry,Control,1,4,4
3116,cry,Control,1,5,14
3116,cry,Control,2,1,0
3116,cry,Control,2,2,0
3116,cry,Control,2,3,2
3116,cry,Control,2,4,6
3116,cry,Control,2,5,35
3118,cry,Control,1,1,2
3118,cry,Control,1,2,2
3118,cry,Control,1,3,10
3118,cry,Control,1,4,5.333333333
3118,cry,Control,1,5,42
3118,cry,Control,2,1,6
3118,cry,Control,2,2,2.666666667
3118,cry,Control,2,3,2
3118,cry,Control,2,4,2
3118,cry,Control,2,5,41.66666667
3121,cry,Control,1,1,66.66666667
3121,cry,Control,1,2,50.33333333
3121,cry,Control,1,3,32
3121,cry,Control,1,4,0
3121,cry,Control,1,5,0
3121,cry,Control,2,1,195
3121,cry,Control,2,2,82
3121,cry,Control,2,3,26.66666667
3121,cry,Control,2,4,52.33333333
3121,cry,Control,2,5,0
3123,cry,Control,1,1,0
3123,cry,Control,1,2,4
3123,cry,Control,1,3,0
3123,cry,Control,1,4,0
3123,cry,Control,1,5,2
3123,cry,Control,2,1,26.66666667
3123,cry,Control,2,2,12
3123,cry,Control,2,3,25.33333333
3123,cry,Control,2,4,14.66666667
3123,cry,Control,2,5,0
3126,cry,Control,1,1,0
3126,cry,Control,1,2,10.66666667
3126,cry,Control,1,3,2
3126,cry,Control,1,4,2
3126,cry,Control,1,5,0
3126,cry,Control,2,1,10
3126,cry,Control,2,2,2
3126,cry,Control,2,3,24.66666667
3126,cry,Control,2,4,4
3126,cry,Control,2,5,2
