ID,Genotype,Treatment,Branch,Leaf,Volumen of EFN in ug mean
3117,Wild,Control,1,1,26
3117,Wild,Control,1,2,13.33333333
3117,Wild,Control,1,3,2
3117,Wild,Control,1,4,3.333333333
3117,Wild,Control,1,5,4
3117,Wild,Control,2,1,3.333333333
3117,Wild,Control,2,2,10
3117,Wild,Control,2,3,1.333333333
3117,Wild,Control,2,4,0
3117,Wild,Control,2,5,1.333333333
3119,Wild,Control,1,1,18
3119,Wild,Control,1,2,43
3119,Wild,Control,1,3,4
3119,Wild,Control,1,4,2
3119,Wild,Control,1,5,25.33333333
3119,Wild,Control,2,1,7.333333333
3119,Wild,Control,2,2,5.333333333
3119,Wild,Control,2,3,11.66666667
3119,Wild,Control,2,4,10.66666667
3119,Wild,Control,2,5,0
3120,Wild,Control,1,1,50.66666667
3120,Wild,Control,1,2,41
3120,Wild,Control,1,3,24
3120,Wild,Control,1,4,0
3120,Wild,Control,1,5,0
3120,Wild,Control,2,1,68
3120,Wild,Control,2,2,17
3120,Wild,Control,2,3,3
3120,Wild,Control,2,4,3.333333333
3120,Wild,Control,2,5,0
3125,Wild,Control,1,1,4
3125,Wild,Control,1,2,1.333333333
3125,Wild,Control,1,3,38.66666667
3125,Wild,Control,1,4,2
3125,Wild,Control,1,5,2
3125,Wild,Control,2,1,4
3125,Wild,Control,2,2,2
3125,Wild,Control,2,3,0
3125,Wild,Control,2,4,2
3125,Wild,Control,2,5,1.333333333
3130,Wild,Control,1,1,13.33333333
3130,Wild,Control,1,2,11
3130,Wild,Control,1,3,0
3130,Wild,Control,1,4,0
3130,Wild,Control,1,5,0
3130,Wild,Control,2,1,0
3130,Wild,Control,2,2,1.333333333
3130,Wild,Control,2,3,0
3130,Wild,Control,2,4,0
3130,Wild,Control,2,5,0
3134,Wild,Control,1,1,6.666666667
3134,Wild,Control,1,2,4.666666667
3134,Wild,Control,1,3,6.666666667
3134,Wild,Control,1,4,20
3134,Wild,Control,1,5,6.666666667
3134,Wild,Control,2,1,6
3134,Wild,Control,2,2,22
3134,Wild,Control,2,3,10
3134,Wild,Control,2,4,24
3134,Wild,Control,2,5,18
3392,Wild,Control,1,1,5.666666667
3392,Wild,Control,1,2,5
3392,Wild,Control,1,3,0
3392,Wild,Control,1,4,0
3392,Wild,Control,1,5,0
3392,Wild,Control,2,1,9
3392,Wild,Control,2,2,0
3392,Wild,Control,2,3,1
3392,Wild,Control,2,4,4
3392,Wild,Control,2,5,3
